PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
2854355,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",01/IntelliSpace IX/LX Workstations/Add Film Printer,01/IntelliSpace IX/LX Workstations/Add Film Printer,A
2856147,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive maintenance: server reboot action,Scheduled server reboot action due to server uptime higher than 300 days,A
2856249,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: server reboot action,Scheduled server reboot action due to server uptime higher than 200 days,A
2856436,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ISP USB recognition problem,ISP USB recognition problem,A
2858020,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",mouse not working,mouse not working,A
2858193,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",HG - EBW does not start. The state does not detect the Philips disk,"HG - EBW does not start. The workstation does not detection of the PHILIPS disk
Description: The EBW workstation does not start and it does not detection of the disk. (information from the it engineer).
He sent it to Philips.
Extended Brilliance WorkSpace/6464/Philips 2.
0011 - 38 / 04090011 / 2023",A
2858704,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Does not work portal,Portal does not work,A
2861698,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",02N/IntelliSpace Portal Solutions/DVD burner issue and option query,02N/IntelliSpace Portal Solutions/DVD burner issue and option query,A
2861819,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Failure to work DVD reader trolleys installed on workstation.,The DVD reader carts installed on the workstation do not work.,A
2862083,Hardware,"Reports, Records and Exams","Incorrect, inaccurate, imprecise, or unexpected result",Report did not generate,Calcium scoring report is not coming,Calcium scoring report is not coming,A
2862495,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)",Accessory not usable,LS - 108126,LS - 108126,A
2863445,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",CD WRITTER IS NOT FUNCTIONING,CD WRITTER IS NOT FUNCTIONING,A
2863466,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP servers down,"Our system consists of concerto server and 6 app servers, App server 4 and App server 6 is down, 
When trying to open the client the error massage is ""Portal server is not available?
Servers has been rebooted",A
2863883,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Technical Question: Disk Space,Technical Question: Disk Space,A
2864010,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Persistent problems with ISP -,"Unfortunately, the known problem again today is that the automatic calculation of the SBI data from c. 10:00 and the services must be restarted.",A
2864192,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD recorder failure,FAILURE IN THE CD RECORDER,A
2866602,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ISP DVD writer not functioning,ISP DVD writer not functioning,A
2867546,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",DVD writer is not functioning,DVD writer is not functioning,A
2867857,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD wrote?,CD cannot be printed.,A
2869008,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Broken disk on one of the servers.,"When checking the server halls, it was discovered that one of the disks on server INTELLI in the O hall is broken.
Serial Number: 85305
Technical ID: SE4547
Manufacturer: HP
Model: DL360 Gen9
Serial No: CZ35240YJ6
Date of purchase: 2016-11-11",A
2869238,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",It does not turn on,It does not turn on,A
2871026,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",SSL:HDD?????????,Can't access the HDD,A
2871063,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",SSL:HDD?????????,Can't access the HDD,A
2871639,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",05K/IntelliSpace IX/LX Workstations/The keyboard is broken,05K/IntelliSpace IX/LX Workstations/The keyboard is broken,A
2871704,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to view work station,Unable to view work station,A
2872001,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",CD WRITER NOT WORKING,CD WRITER NOT WORKING,A
2872746,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",CD drive is not working properly and Mouse is not functioning,CD drive is not working properly and Mouse is not functioning,A
2872954,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",Klavye AR? Zas?,Keyboard failure,A
2872982,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",Klavye AR? Zas?,Keyboard failure,A
2873147,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD  writing is not possible,CD  writing is not possible,A
2873932,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Difficulty opening the recorder is not making media record,Difficulty to open the recorder it is not recording media,A
2875017,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Problems with the portal gives a blue screenshot,"PROBLEMS WITH THE PORTAL, IT SHOWS A BLUE SCREEN",A
2876003,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive maintenance: ISP server reboot attempt,Case created to request customer support to reboot local ISP server due to high server uptime.,A
2876011,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive maintenance: ISP server reboot attempt,Case created to request customer support to reboot local ISP server due to high server uptime.,A
2876014,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive maintenance: ISP server reboot attempt,Case created to request customer support to reboot local ISP server due to high server uptime.,A
2876201,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",SA:Wechat:05L/IntelliSpace Portal Solutions/move isp to another place,SA:Wechat:05L/IntelliSpace Portal Solutions/move isp to another place,A
2876227,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",SA:05K for IB/IntelliSpace IX/LX Workstations/printer problem,SA:05K for IB/IntelliSpace IX/LX Workstations/printer problem,A
2876938,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",01/IntelliSpace Portal Solutions/Workstation cannot query image,01/IntelliSpace Portal Solutions/Workstation cannot query image,A
2876974,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",Mouse not functioning,Mouse not functioning,A
2877034,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",Note print as impressed 3 d,It does not print 3D prints,A
2877583,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive maintenance: ISP server reboot attempt,Case created to request customer support to reboot local ISP server due to high server uptime.,A
2878000,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",05R/IntelliSpace Portal Solutions/Disk is full,05R/IntelliSpace Portal Solutions/Disk is full,A
2878091,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",05L/Upgrades IntelliSpace IX/LX WrkStns/recorder fault,05L/Upgrades IntelliSpace IX/LX WrkStns/recorder fault,A
2878573,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",05R/IntelliSpace Portal Solutions/PACS fails to return to the workstation,05R/IntelliSpace Portal Solutions/PACS fails to return to the workstation,A
2878820,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",01/Extended Brilliance Workspace/film failed,01/Extended Brilliance Workspace/film failed,A
2878844,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP IS NOT FUNCTIONING,ISP IS NOT FUNCTIONING,A
2878962,Hardware,"Reports, Records and Exams","Incorrect, inaccurate, imprecise, or unexpected result",Incorrect report or report not as expected,05R/IntelliSpace IX/LX Workstations/consult record issue,05R/IntelliSpace IX/LX Workstations/consult record issue,A
2881296,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Monitor configuration,Monitor configuration,A
2882072,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: Samaritan Medical Center (ISPv11.1.2),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2882159,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: St Francis Hospital (ISPv11.1.2),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2882794,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",EBW CPU ON SWITCH IS NOT FUNCTIONING,EBW CPU ON SWITCH IS NOT FUNCTIONING,A
2883247,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",05R/Extended Brilliance Workspace/cannot flim,05R/Extended Brilliance Workspace/cannot flim,A
2883886,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD drive is not working,CD drive is not working,A
2884144,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",01/IntelliSpace IX/LX Workstations/Clean up disk space,01/IntelliSpace IX/LX Workstations/Clean up disk space,A
2884320,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Internal CD writer require,Internal CD writer require,A
2884376,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Issue with DVD writer driver,Issue with DVD writer driver,A
2884589,Hardware,"Reports, Records and Exams","Incorrect, inaccurate, imprecise, or unexpected result",Incorrect report or report not as expected,ISP DynaCAD - images in report are black/empty,"After analysing the image Data in DynaCAD and placing ROI's , the customer creates an auto report. The images in the report are black/empty.",A
2884637,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Apache IntelliSpace servers,"Hello
This is related to 
Work Order: WO-07482680
Document Number: WO-07482680_1
Date of Issue: 04/01/2023
Case Number: 0120980200
""We have had a report about Apache vulnerables on different Intellispace servers for different HF systems. The solution is to upgrade to
Apache version 2.4.54 (or later). Can this be done on the following servers without having any undesirable negative impact on Installed
Version of Intellispace? SD3-INTESPVV-01 SD3-INTESPSV-01 SD3-INTESPST-01 SD3-INTESPAH-01 SD3-INTESPAH-02
SD3-INTESPAH-03 SD3-INTESPAH-04""
----------------------------
This is about Apache 2.4.26 under CorTechs Labs (C:\PortalPms\CorTechs Labs\SystemTools\apache\bin), but instead we have updated Log4J to 2.17.0. 
Is it possible to upgrade Apache 2.4.26 to 2.4.54 or later?

Thien",A
2884671,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",ISP mouse is not functioning,ISP mouse is not functioning,A
2885297,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Restore Servera operation followed hacker attack,"The server functioning was restored following the access to the ""Rehabilitation"" command.",A
2885495,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",The work of work is not working.,The workstation is not working.,A
2885684,Hardware,"Reports, Records and Exams","Incorrect, inaccurate, imprecise, or unexpected result",Report did not generate,The images in the report generated by Dynacad are not shown,The images are not displayed in the report generated by DynaCAD.,A
2886693,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Bring v12 servers into production,Bring v12 servers into production,A
2886848,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Getting warning that the drive space is low,Getting warning that the drive space is low,A
2887149,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)",Not detected,Master server running out of diskspace on d:\drive.,Master server running out of diskspace on d:\drive.,A
