PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5465023,Complaint,05CS:HO:ISP freezes on Login screen,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Unable to Confirm/Replicate Allegation,No problem found,
5465030,Complaint,Cancelled due to duplicate case creation,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5465165,Complaint,05R/Extended Brilliance Workspace/print error,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,ICAP-Hardware,Computer,
5465209,Complaint,WeChat?05L/IntelliSpace Portal Solutions/hard disk failure,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Use Error,Other use error,
5465211,Complaint,ISP client computer cannot boot up normally.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Non-Philips Product/ Accessories,Non- Philips Product,
5465914,Complaint,ISP connectivity to Standby VuePACS during failover,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",Network - Communication,Network configuration issue,
5466023,Complaint,ISP need to change location,Others,Non-Complaint,Non-Complaint,into,,,
5466381,Complaint,Customer is not satisfied with the result of some feature in V12 CCA application,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,,
5466490,Complaint,Export to USB media fails for a user,Software,"Data (Analysis, Processing, Transferring, Archiving)",User interface or workflow not supported by system,Data does not export,Confirmed,Restart resolved,
5467600,Complaint,System disk defective,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-System General,Functional - Multi-Vendor,
5468242,Complaint,Please install new set of product licenses on concerto system (engine plus 3 AVW servers) to add the DESCRETE...,Others,Non-Complaint,Non-Complaint,into,,,
5468342,Complaint,The server could not send back images from PACS.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Configuration,Configuration Issues,
5468387,Complaint,01/IntelliSpace Portal Solutions/the system can not power on,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Use Error,Other use error,
5468622,Complaint,01/IntelliSpace Portal Solutions/System blue screen,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5468645,Complaint,Wechat:05R/IntelliSpace Portal/ images transfer error,Image Related,Imaging and Images,Image routing,Cannot route image,Confirmed,Restart resolved,
5468668,Complaint,01/Extended Brilliance Workspace/Customer Consultation,Others,Non-Complaint,Non-Complaint,into,,,
5468807,Complaint,Virtual application guide / Knowledge Scape not working,Others,Usability (Ease of use),User interface or workflow not supported by system,Cannot find what I need,Network - Communication,Network configuration issue,
5469051,Complaint,AVW 15 Application intialization error,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Server,Restart resolved,
5469562,Complaint,01/IntelliSpace Portal Solutions/Delete printer node,Others,Non-Complaint,Non-Complaint,into,,,
5469679,Complaint,01/IntelliSpace Portal Solutions/boot up failed,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,,
5469711,Complaint,Display and connectivity problem,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Customer Network issue,
5469762,Complaint,The programs cannot be run,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,No problem found,
5469771,Complaint,We requeste to configure access to RMs and TACs of the center from Portal,Others,Non-Complaint,Non-Complaint,into,,,
5469859,Complaint,Slow-down and error message,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,,
5469911,Complaint,AVW15 CT Calcium Score Send to External report doesn't allow unscored (or zero) vessel info' to populate in the report,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5470301,Complaint,Check the partition of disk D,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Database,Database Full/Corrupt,
5470467,Complaint,01/IntelliSpace IX/LX Workstations/change printer setting,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues,
5470600,Complaint,Impossible to connect.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Use Error,Other use error,
5470773,Complaint,It is not possible to download examinations from PACS.,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5470833,Complaint,Not able to process Cardiac MRI analysis,Image Related,Imaging and Images,Image routing,Cannot route image,Software,Software/Firmware Settings and Configuration,
5470965,Complaint,WHEN TURNING ON THE EQUIPMENT IT DISPLAYED AN ERROR MESSAGE.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,ICAP-Hardware,Computer,
5471044,Complaint,Group settings and permissions being reset on AVW,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5471074,Complaint,CD writer is not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5471105,Complaint,Workflow error appearing in ISP,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software malfunction,
5472103,Complaint,EBW is very slow.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,ICAP-Hardware,Computer,
5472278,Complaint,Transfers failing to ISP from all scanners/systems,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,Network - Communication,Customer Network issue,
5473350,Complaint,ISP client could not login.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-Hardware,Disk Drive,
5473888,Complaint,The PACS network is misconfigured with the Nertwork  network.,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",Network - Communication,Network configuration issue,
5474250,Complaint,WeChat?05R/Extended Brilliance Workspace/Display malfunction,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Monitor,
5474260,Complaint,Reduced capacity in the application,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software/Firmware Settings and Configuration,
5474465,Complaint,A problem with starting the MultiModality Viewer module.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),License/Certificate,Certificate,
5474622,Complaint,Upgrade V15.0.7,Others,Non-Complaint,Non-Complaint,into,,,
5474739,Complaint,Portal down,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Server,Restart resolved,
5474791,Complaint,The workstation does not load the examinations.,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Software,Corrupt/Crashed,
5474823,Complaint,6600690596.01/assembly partner,Others,Non-Complaint,Non-Complaint,into,,,
5475126,Complaint,The Portal does not work in a PC.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software malfunction,
5475283,Complaint,Certificate error,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,License/Certificate,Certificate,
5475317,Complaint,workstation PC software hanging issue,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",ICAP-Hardware,Computer,
5475739,Complaint,ISP does not repatriate the examinations from the PACS.,Image Related,Imaging and Images,Image routing,Cannot route image,Configuration,Configuration Issues,
5475817,Complaint,When open the case in work station can't open hang,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Database,Database Full/Corrupt,
5475855,Complaint,"Computer works, but monitor are both black.",Hardware,Displays & Monitors,Monitor/display has partial screen or works intermittently,into,Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5475860,Complaint,They have been attempting to configure the display but haven't succeeded,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Unable to Confirm/Replicate Allegation,No problem found,
5476022,Complaint,More transferred images,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,,,
5476024,Complaint,Can't login in 3 WS,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,,,
5476048,Complaint,The clinician can't execute the examination QFLOW because he can't import the images,Image Related,Imaging and Images,Image routing,Cannot route image,,,
5476089,Complaint,can't segment the veins from some CT devices,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",,,
5476197,Complaint,A problem with the AVW client.,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ICAP-System Film/Print,Usability - Workflow,
5476459,Complaint,"There is malfunction with the centerline, can’t be used properly",Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5476901,Complaint,Customer States Internal Sever Error When Attempting to Log into ISP,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Database,Database Full/Corrupt,
5477209,Complaint,How to check the network information if correct,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
