L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Hardware,01/IntelliSpace IX/LX Workstations/Add Film Printer,01/IntelliSpace IX/LX Workstations/Add Film Printer,,,
Hardware,Scheduled server reboot action due to server uptime higher than 300 days,Preventive maintenance: server reboot action,,,
Hardware,Scheduled server reboot action due to server uptime higher than 200 days,Preventive Maintenance: server reboot action,,,
Hardware,ISP USB recognition problem,ISP USB recognition problem,,,
Hardware,mouse not working,mouse not working,,,
Hardware,"HG - EBW does not start. The workstation does not detection of the PHILIPS disk
Description: The EBW workstation does not start and it does not detection of the disk. (information from the it engineer).
He sent it to Philips.
Extended Brilliance WorkSpace/6464/Philips 2.
0011 - 38 / 04090011 / 2023",HG - EBW does not start. The state does not detect the Philips disk,,,
Hardware,Portal does not work,Does not work portal,,,
Hardware,02N/IntelliSpace Portal Solutions/DVD burner issue and option query,02N/IntelliSpace Portal Solutions/DVD burner issue and option query,,,
Hardware,The DVD reader carts installed on the workstation do not work.,Failure to work DVD reader trolleys installed on workstation.,,,
Hardware,Calcium scoring report is not coming,Calcium scoring report is not coming,,,
Hardware,LS - 108126,LS - 108126,,,
Hardware,CD WRITTER IS NOT FUNCTIONING,CD WRITTER IS NOT FUNCTIONING,,,
Hardware,"Our system consists of concerto server and 6 app servers, App server 4 and App server 6 is down, 
When trying to open the client the error massage is ""Portal server is not available?
Servers has been rebooted",ISP servers down,,,
Hardware,Technical Question: Disk Space,Technical Question: Disk Space,,,
Hardware,"Unfortunately, the known problem again today is that the automatic calculation of the SBI data from c. 10:00 and the services must be restarted.",Persistent problems with ISP -,,,
Hardware,FAILURE IN THE CD RECORDER,CD recorder failure,,,
Hardware,ISP DVD writer not functioning,ISP DVD writer not functioning,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,CD cannot be printed.,CD wrote?,,,
Hardware,"When checking the server halls, it was discovered that one of the disks on server INTELLI in the O hall is broken.
Serial Number: 85305
Technical ID: SE4547
Manufacturer: HP
Model: DL360 Gen9
Serial No: CZ35240YJ6
Date of purchase: 2016-11-11",Broken disk on one of the servers.,,,
Hardware,It does not turn on,It does not turn on,,,
Hardware,Can't access the HDD,SSL:HDD?????????,,,
Hardware,Can't access the HDD,SSL:HDD?????????,,,
Hardware,05K/IntelliSpace IX/LX Workstations/The keyboard is broken,05K/IntelliSpace IX/LX Workstations/The keyboard is broken,,,
Hardware,Unable to view work station,Unable to view work station,,,
Hardware,CD WRITER NOT WORKING,CD WRITER NOT WORKING,,,
Hardware,CD drive is not working properly and Mouse is not functioning,CD drive is not working properly and Mouse is not functioning,,,
Hardware,Keyboard failure,Klavye AR? Zas?,,,
Hardware,Keyboard failure,Klavye AR? Zas?,,,
Hardware,CD  writing is not possible,CD  writing is not possible,,,
Hardware,Difficulty to open the recorder it is not recording media,Difficulty opening the recorder is not making media record,,,
Hardware,"PROBLEMS WITH THE PORTAL, IT SHOWS A BLUE SCREEN",Problems with the portal gives a blue screenshot,,,
Hardware,Case created to request customer support to reboot local ISP server due to high server uptime.,Preventive maintenance: ISP server reboot attempt,,,
Hardware,Case created to request customer support to reboot local ISP server due to high server uptime.,Preventive maintenance: ISP server reboot attempt,,,
Hardware,Case created to request customer support to reboot local ISP server due to high server uptime.,Preventive maintenance: ISP server reboot attempt,,,
Hardware,SA:Wechat:05L/IntelliSpace Portal Solutions/move isp to another place,SA:Wechat:05L/IntelliSpace Portal Solutions/move isp to another place,,,
Hardware,SA:05K for IB/IntelliSpace IX/LX Workstations/printer problem,SA:05K for IB/IntelliSpace IX/LX Workstations/printer problem,,,
Hardware,01/IntelliSpace Portal Solutions/Workstation cannot query image,01/IntelliSpace Portal Solutions/Workstation cannot query image,,,
Hardware,Mouse not functioning,Mouse not functioning,,,
Hardware,It does not print 3D prints,Note print as impressed 3 d,,,
Hardware,Case created to request customer support to reboot local ISP server due to high server uptime.,Preventive maintenance: ISP server reboot attempt,,,
Hardware,05R/IntelliSpace Portal Solutions/Disk is full,05R/IntelliSpace Portal Solutions/Disk is full,,,
Hardware,05L/Upgrades IntelliSpace IX/LX WrkStns/recorder fault,05L/Upgrades IntelliSpace IX/LX WrkStns/recorder fault,,,
Hardware,05R/IntelliSpace Portal Solutions/PACS fails to return to the workstation,05R/IntelliSpace Portal Solutions/PACS fails to return to the workstation,,,
Hardware,01/Extended Brilliance Workspace/film failed,01/Extended Brilliance Workspace/film failed,,,
Hardware,ISP IS NOT FUNCTIONING,ISP IS NOT FUNCTIONING,,,
Hardware,05R/IntelliSpace IX/LX Workstations/consult record issue,05R/IntelliSpace IX/LX Workstations/consult record issue,,,
Hardware,Monitor configuration,Monitor configuration,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Samaritan Medical Center (ISPv11.1.2),,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: St Francis Hospital (ISPv11.1.2),,,
Hardware,EBW CPU ON SWITCH IS NOT FUNCTIONING,EBW CPU ON SWITCH IS NOT FUNCTIONING,,,
Hardware,05R/Extended Brilliance Workspace/cannot flim,05R/Extended Brilliance Workspace/cannot flim,,,
Hardware,CD drive is not working,CD drive is not working,,,
Hardware,01/IntelliSpace IX/LX Workstations/Clean up disk space,01/IntelliSpace IX/LX Workstations/Clean up disk space,,,
Hardware,Internal CD writer require,Internal CD writer require,,,
Hardware,Issue with DVD writer driver,Issue with DVD writer driver,,,
Hardware,"After analysing the image Data in DynaCAD and placing ROI's , the customer creates an auto report. The images in the report are black/empty.",ISP DynaCAD - images in report are black/empty,,,
Hardware,"Hello
This is related to 
Work Order: WO-07482680
Document Number: WO-07482680_1
Date of Issue: 04/01/2023
Case Number: 0120980200
""We have had a report about Apache vulnerables on different Intellispace servers for different HF systems. The solution is to upgrade to
Apache version 2.4.54 (or later). Can this be done on the following servers without having any undesirable negative impact on Installed
Version of Intellispace? SD3-INTESPVV-01 SD3-INTESPSV-01 SD3-INTESPST-01 SD3-INTESPAH-01 SD3-INTESPAH-02
SD3-INTESPAH-03 SD3-INTESPAH-04""
----------------------------
This is about Apache 2.4.26 under CorTechs Labs (C:\PortalPms\CorTechs Labs\SystemTools\apache\bin), but instead we have updated Log4J to 2.17.0. 
Is it possible to upgrade Apache 2.4.26 to 2.4.54 or later?

Thien",Apache IntelliSpace servers,,,
Hardware,ISP mouse is not functioning,ISP mouse is not functioning,,,
Hardware,"The server functioning was restored following the access to the ""Rehabilitation"" command.",Restore Servera operation followed hacker attack,,,
Hardware,The workstation is not working.,The work of work is not working.,,,
Hardware,The images are not displayed in the report generated by DynaCAD.,The images in the report generated by Dynacad are not shown,,,
Hardware,Bring v12 servers into production,Bring v12 servers into production,,,
Hardware,Getting warning that the drive space is low,Getting warning that the drive space is low,,,
Hardware,Master server running out of diskspace on d:\drive.,Master server running out of diskspace on d:\drive.,,,
Hardware,05R/IntelliSpace IX/LX Workstations/keyboard fault,05R/IntelliSpace IX/LX Workstations/keyboard fault,,,
Hardware,Workstation monitor is not functioning,Workstation monitor is not functioning,,,
Hardware,EBW DVD writer not functioning,EBW DVD writer not functioning,,,
Hardware,02N/IntelliSpace IX/LX Workstations/consult,02N/IntelliSpace IX/LX Workstations/consult,,,
Hardware,"Some ISP servers do not process any data anymore.
Currently the server 3 is on strike, please also check the servers 1, 2, and 4.",ISP Problem,,,
Hardware,Technician opens for replacement of HD,Technician opens for HD replacement,,,
Hardware,"When we do curves, we cannot print them.",Unable to print curves,,,
Hardware,It doesn't burn CDs and DVDs.,NO records CD and DVD,,,
Hardware,It doesn't burn CDs and DVDs.,NO records CD and DVD,,,
Hardware,It doesn't burn CDs and DVDs.,NO records CD and DVD,,,
